group,N,ln_order,max_cycle_ratio,cycle_count
Chaos-Henon,1024,15.232736564952283,0.81640625,8
Chaos-Henon,1024,18.820972493286533,0.8544921875,10
Random+argsort,1024,18.590243249127347,0.6318359375,6
Random+argsort,1024,23.12184485775401,0.4609375,9
Random+argsort,1024,20.489491478307425,0.470703125,6
Random+argsort,1024,17.898916511147153,0.51953125,5
Random+argsort,1024,14.275918293536563,0.703125,5
Random+argsort,1024,15.183386333560147,0.830078125,9
Random+argsort,1024,27.86373719155028,0.4521484375,9
Random+argsort,1024,17.140034217210324,0.5283203125,4
Random+argsort,1024,15.981712195065171,0.6884765625,5
Random+argsort,1024,26.423365049513254,0.53515625,13
Random+argsort,1024,11.647106646436248,0.9306640625,4
Random+argsort,1024,19.253197094110167,0.3046875,10
Random+argsort,1024,21.246211855075604,0.3935546875,12
Random+argsort,1024,18.769939878622836,0.7685546875,9
Random+argsort,1024,21.721255656554316,0.5849609375,8
Random+argsort,1024,17.423432636223243,0.4951171875,8
Random+argsort,1024,23.60208869225418,0.61328125,7
Random+argsort,1024,21.58699665366013,0.5166015625,8
Random+argsort,1024,13.19005940835698,0.94140625,6
Random+argsort,1024,11.159246030011294,0.9794921875,5
Random+argsort,1024,22.00407987523188,0.7119140625,8
Random+argsort,1024,11.338000485926493,0.515625,4
Random+argsort,1024,16.796782787176063,0.3837890625,8
Random+argsort,1024,15.75390050101971,0.85546875,7
Random+argsort,1024,21.393815426375177,0.6748046875,6
Random+argsort,1024,18.052433093821016,0.4443359375,7
Random+argsort,1024,15.597701056945294,0.751953125,7
Random+argsort,1024,19.921280969034644,0.5322265625,9
Random+argsort,1024,14.511613366349852,0.77734375,8
Random+argsort,1024,19.292172332926125,0.7353515625,8
Random+argsort,1024,21.84337649080475,0.42578125,7
Random+argsort,1024,20.50923711903971,0.537109375,8
Random+argsort,1024,17.5169414126602,0.697265625,7
Random+argsort,1024,11.274719035978974,0.77734375,7
Random+argsort,1024,24.554877099015727,0.4267578125,10
Random+argsort,1024,18.20511198135177,0.728515625,6
Random+argsort,1024,12.963194125584591,0.7626953125,6
Random+argsort,1024,13.535078143125455,0.5869140625,4
Random+argsort,1024,16.91992323026076,0.8681640625,7
Random+argsort,1024,10.443920521054777,0.9580078125,4
Random+argsort,1024,19.79488502368486,0.3935546875,9
Random+argsort,1024,20.111873079776878,0.478515625,9
Random+argsort,1024,17.308128747438055,0.4638671875,7
Random+argsort,1024,18.520097480299484,0.3564453125,7
Random+argsort,1024,21.07841790269456,0.720703125,11
Random+argsort,1024,16.615886489829848,0.5595703125,9
Random+argsort,1024,11.512525384948889,0.498046875,10
Random+argsort,1024,19.63260421777435,0.5390625,11
Random+argsort,1024,20.19471903147264,0.5400390625,6
Random+argsort,1024,14.001392435952987,0.9130859375,6
Random+argsort,1024,12.278411911587899,0.9208984375,5
Random+argsort,1024,14.304213264642494,0.7421875,9
Random+argsort,1024,21.85400055158422,0.337890625,12
Random+argsort,1024,19.707225319787522,0.5986328125,5
Random+argsort,1024,14.867136055408047,0.55078125,5
Random+argsort,1024,13.902124856128541,0.857421875,7
Random+argsort,1024,17.95388508366755,0.7158203125,8
Random+argsort,1024,21.415701724597522,0.3837890625,8
Random+argsort,1024,21.7997039251605,0.578125,7
Random+argsort,1024,12.468186878742456,0.5458984375,2
Fisher-Yates,1024,13.771746740523099,0.83984375,5
Fisher-Yates,1024,9.47424191576256,0.908203125,6
Fisher-Yates,1024,12.32679801494068,0.6865234375,2
Fisher-Yates,1024,24.193153142611564,0.3408203125,7
